Time,QUIC-BBR Cwnd,QUIC-BBR RTT,QUIC-BBR Throughput,QUIC-BBR Packet Loss,TCP-CUBIC Cwnd,TCP-CUBIC RTT,TCP-CUBIC Throughput,TCP-CUBIC Packet Loss
1.0,0.0,0.0,0.0,0.0,,,1.3559999999999999,91.5923
1.1916,0.0,0.0,0.0,0.0,43.0,467.0,1.3559999999999999,91.5923
1.40327,0.0,0.0,0.0,0.0,53.0,604.0,1.3559999999999999,91.5923
1.61009,0.0,0.0,0.0,0.0,53.0,718.0,1.3559999999999999,91.5923
1.8022599999999998,0.0,0.0,0.0,0.0,55.0,862.0,1.3559999999999999,91.5923
2.0,12.0,500.898,1.22699,96.4645,55.0,840.0,1.524,86.0303
2.19496,12.0,500.898,1.22699,96.4645,56.0,919.0,1.524,86.0303
2.4121200000000003,12.0,500.898,1.22699,96.4645,56.0,1056.0,1.524,86.0303
2.66788,12.0,500.898,1.22699,96.4645,56.0,1244.0,1.524,86.0303
2.82533,12.0,500.898,1.22699,96.4645,57.0,1237.0,1.524,86.0303
3.04243,25.0,950.37,1.43245,93.4148,10.0,1376.0,1.5,82.4688
3.2366099999999998,25.0,950.37,1.43245,93.4148,55.0,52.0,1.5,82.4688
3.42739,25.0,950.37,1.43245,93.4148,51.0,1498.0,1.5,82.4688
3.78614,25.0,950.37,1.43245,93.4148,51.0,217.0,1.5,82.4688
3.94844,25.0,950.37,1.43245,93.4148,29.0,394.0,1.5,82.4688
4.2953,45.0,1477.06,1.40934,91.0625,46.0,1555.0,0.828,82.5773
4.6776599999999995,45.0,1477.06,1.40934,91.0625,48.0,1734.0,0.828,82.5773
4.93456,45.0,1477.06,1.40934,91.0625,47.0,1826.0,0.828,82.5773
5.19096,50.0,1999.59,1.50211,88.6829,1.0,1892.0,0.612,81.0621
5.466080000000001,50.0,1999.59,1.50211,88.6829,45.0,1053.0,0.612,81.0621
5.79944,50.0,1999.59,1.50211,88.6829,51.0,1326.0,0.612,81.0621
6.14729,58.0,2600.22,1.3057299999999998,87.6295,56.0,2456.0,2.148,78.6879
6.54946,58.0,2600.22,1.3057299999999998,87.6295,12.0,1912.0,2.148,78.6879
6.799739999999999,58.0,2600.22,1.3057299999999998,87.6295,66.0,2003.0,2.148,78.6879
7.12241,67.0,3511.65,1.2929899999999999,86.9881,30.0,1756.0,1.464,78.9122
7.65685,67.0,3511.65,1.2929899999999999,86.9881,76.0,2410.0,1.464,78.9122
7.77032,67.0,3511.65,1.2929899999999999,86.9881,41.0,1792.0,1.464,78.9122
8.1161,100.0,3003.73,1.431,85.8682,89.0,1755.0,1.62,78.7685
8.59534,100.0,3003.73,1.431,85.8682,30.0,1652.0,1.62,78.7685
8.89439,100.0,3003.73,1.431,85.8682,31.0,1477.0,1.62,78.7685
9.100430000000001,88.0,3667.41,1.41964,85.1119,102.0,1825.0,1.44,77.74
9.3933,88.0,3667.41,1.41964,85.1119,51.0,1750.0,1.44,77.74
9.70181,88.0,3667.41,1.41964,85.1119,113.0,1881.0,1.44,77.74
9.916080000000001,88.0,3667.41,1.41964,85.1119,41.0,1794.0,1.44,77.74
10.1532,120.0,4549.61,1.30803,84.2605,121.0,2160.0,1.50234,75.8654
10.3334,120.0,4549.61,1.30803,84.2605,64.0,1859.0,1.50234,75.8654
10.5246,120.0,4549.61,1.30803,84.2605,68.0,1838.0,1.50234,75.8654
10.6844,120.0,4549.61,1.30803,84.2605,134.0,1831.0,1.50234,75.8654
10.9075,120.0,4549.61,1.30803,84.2605,40.0,2598.0,1.50234,75.8654
11.1176,152.0,4750.1,1.1200700000000001,84.1472,48.0,1862.0,1.46272,74.8768
11.3059,152.0,4750.1,1.1200700000000001,84.1472,141.0,2801.0,1.46272,74.8768
11.6498,152.0,4750.1,1.1200700000000001,84.1472,54.0,1990.0,1.46272,74.8768
11.8441,152.0,4750.1,1.1200700000000001,84.1472,87.0,1959.0,1.46272,74.8768
12.0016,131.0,5157.91,0.679784,84.2141,51.0,2026.0,1.51482,73.6059
12.2351,131.0,5157.91,0.679784,84.2141,153.0,2651.0,1.51482,73.6059
12.4234,131.0,5157.91,0.679784,84.2141,48.0,1881.0,1.51482,73.6059
12.6209,131.0,5157.91,0.679784,84.2141,157.0,2753.0,1.51482,73.6059
12.8968,131.0,5157.91,0.679784,84.2141,53.0,2006.0,1.51482,73.6059
13.1166,229.0,5175.86,0.611152,84.5067,70.0,2108.0,1.4293799999999999,72.7022
13.3138,229.0,5175.86,0.611152,84.5067,166.0,3089.0,1.4293799999999999,72.7022
13.5713,229.0,5175.86,0.611152,84.5067,109.0,2618.0,1.4293799999999999,72.7022
13.8124,229.0,5175.86,0.611152,84.5067,76.0,2234.0,1.4293799999999999,72.7022
14.1157,118.0,3297.53,0.588576,86.0039,87.0,2269.0,1.2276200000000002,72.125
14.3958,118.0,3297.53,0.588576,86.0039,174.0,3739.0,1.2276200000000002,72.125
14.6848,118.0,3297.53,0.588576,86.0039,118.0,3195.0,1.2276200000000002,72.125
14.8577,118.0,3297.53,0.588576,86.0039,71.0,2445.0,1.2276200000000002,72.125
15.0838,225.0,5131.91,1.57684,86.0095,82.0,2693.0,1.23357,71.4412
15.3414,225.0,5131.91,1.57684,86.0095,94.0,2792.0,1.23357,71.4412
15.5806,225.0,5131.91,1.57684,86.0095,178.0,4131.0,1.23357,71.4412
16.0,298.0,5649.85,0.001016,86.5082,80.0,4276.0,1.20662,70.4803
16.2886,298.0,5649.85,0.001016,86.5082,136.0,4014.0,1.20662,70.4803
16.4308,298.0,5649.85,0.001016,86.5082,145.0,3546.0,1.20662,70.4803
16.6073,298.0,5649.85,0.001016,86.5082,86.0,3344.0,1.20662,70.4803
16.8175,298.0,5649.85,0.001016,86.5082,99.0,3051.0,1.20662,70.4803
16.9309,298.0,5649.85,0.001016,86.5082,99.0,3607.0,1.20662,70.4803
17.0784,266.0,4925.91,0.0,86.6982,111.0,3462.0,2.22605,70.0613
17.1844,266.0,4925.91,0.0,86.6982,111.0,3407.0,2.22605,70.0613
17.3234,266.0,4925.91,0.0,86.6982,124.0,3338.0,2.22605,70.0613
17.6437,266.0,4925.91,0.0,86.6982,22.0,3337.0,2.22605,70.0613
18.06,144.0,5011.25,1.02206,86.4666,149.0,3934.0,1.2727700000000002,70.2416
18.2287,144.0,5011.25,1.02206,86.4666,160.0,3814.0,1.2727700000000002,70.2416
18.4699,144.0,5011.25,1.02206,86.4666,104.0,2751.0,1.2727700000000002,70.2416
18.73,144.0,5011.25,1.02206,86.4666,116.0,2915.0,1.2727700000000002,70.2416
18.9335,144.0,5011.25,1.02206,86.4666,122.0,3139.0,1.2727700000000002,70.2416
19.1199,147.0,6000.74,1.73085,85.8084,133.0,3739.0,1.40326,69.2308
19.2892,147.0,6000.74,1.73085,85.8084,143.0,2613.0,1.40326,69.2308
19.5437,147.0,6000.74,1.73085,85.8084,142.0,4016.0,1.40326,69.2308
19.7729,147.0,6000.74,1.73085,85.8084,151.0,3760.0,1.40326,69.2308
20.2115,95.0,5755.09,0.5143840000000001,85.5074,169.0,3874.0,1.3128600000000001,68.14399999999999
20.4181,95.0,5755.09,0.5143840000000001,85.5074,178.0,4111.0,1.3128600000000001,68.14399999999999
20.6162,95.0,5755.09,0.5143840000000001,85.5074,187.0,4188.0,1.3128600000000001,68.14399999999999
20.8395,95.0,5755.09,0.5143840000000001,85.5074,133.0,3638.0,1.3128600000000001,68.14399999999999
21.119,118.0,6570.16,2.5504599999999997,83.8825,141.0,4114.0,1.20717,67.3488
21.3008,118.0,6570.16,2.5504599999999997,83.8825,147.0,3549.0,1.20717,67.3488
21.5503,118.0,6570.16,2.5504599999999997,83.8825,156.0,4264.0,1.20717,67.3488
21.7174,118.0,6570.16,2.5504599999999997,83.8825,155.0,3768.0,1.20717,67.3488
21.8534,118.0,6570.16,2.5504599999999997,83.8825,166.0,4437.0,1.20717,67.3488
21.9932,118.0,6570.16,2.5504599999999997,83.8825,175.0,4518.0,1.20717,67.3488
22.1887,118.0,2592.43,1.82686,82.7513,146.0,3997.0,1.16298,66.8552
22.3723,118.0,2592.43,1.82686,82.7513,192.0,4406.0,1.16298,66.8552
22.4894,118.0,2592.43,1.82686,82.7513,204.0,4297.0,1.16298,66.8552
22.6501,118.0,2592.43,1.82686,82.7513,214.0,3639.0,1.16298,66.8552
