Time,QUIC-BBR Cwnd,QUIC-BBR RTT,QUIC-BBR Throughput,QUIC-BBR Packet Loss,TCP-CUBIC Cwnd,TCP-CUBIC RTT,TCP-CUBIC Throughput,TCP-CUBIC Packet Loss
1.0,0.0,0.0,0.0,,,,0.0,0.0
3.0939,43.0,33.7861,14.061,44.9481,25.0,36.0,0.0,0.0
3.20519,43.0,33.7861,14.061,44.9481,35.0,74.0,1.056,91.1349
3.2601400000000003,43.0,33.7861,14.061,44.9481,30.0,74.0,1.056,91.1349
3.3163,43.0,33.7861,14.061,44.9481,27.0,74.0,0.0,91.1349
3.4857199999999997,43.0,33.7861,14.061,44.9481,21.0,74.0,2.136,92.7301
3.6381099999999997,43.0,33.7861,14.061,44.9481,16.0,78.0,2.04,93.3783
3.7384699999999995,43.0,33.7861,14.061,44.9481,15.0,85.0,1.8,91.8668
3.86783,43.0,33.7861,14.061,44.9481,13.0,75.0,0.816,92.0474
3.98023,43.0,33.7861,14.061,44.9481,10.0,69.0,2.064,90.7257
4.09405,64.0,51.3643,14.0621,40.2405,14.0,67.0,1.4280000000000002,88.9725
4.205,64.0,51.3643,14.0621,40.2405,14.0,68.0,1.4280000000000002,86.1012
4.31767,64.0,51.3643,14.0621,40.2405,12.0,64.0,1.4040000000000001,84.9421
4.43075,64.0,51.3643,14.0621,40.2405,15.0,65.0,1.392,84.3943
4.54678,64.0,51.3643,14.0621,40.2405,10.0,63.0,1.4880000000000002,83.5962
4.65946,64.0,51.3643,14.0621,40.2405,10.0,59.0,1.4280000000000002,82.7099
4.77121,64.0,51.3643,14.0621,40.2405,11.0,58.0,1.4280000000000002,81.9171
4.88404,64.0,51.3643,14.0621,40.2405,11.0,66.0,1.4280000000000002,81.1794
4.99735,64.0,51.3643,14.0621,40.2405,11.0,67.0,1.4280000000000002,80.5096
5.1099,39.0,63.1557,13.5775,38.0583,11.0,68.0,1.4280000000000002,79.3458
5.22093,39.0,63.1557,13.5775,38.0583,11.0,67.0,1.4280000000000002,78.8438
5.33436,39.0,63.1557,13.5775,38.0583,11.0,65.0,1.4280000000000002,78.3498
5.4478,39.0,63.1557,13.5775,38.0583,11.0,65.0,1.4280000000000002,77.9128
5.55963,39.0,63.1557,13.5775,38.0583,11.0,68.0,1.4280000000000002,77.4906
5.67318,39.0,63.1557,13.5775,38.0583,11.0,65.0,1.4280000000000002,77.0919
5.7849699999999995,39.0,63.1557,13.5775,38.0583,11.0,68.0,1.4280000000000002,76.742
5.89432,39.0,63.1557,13.5775,38.0583,11.0,64.0,1.4280000000000002,76.3975
6.00767,61.0,48.7637,14.5468,36.8938,11.0,65.0,1.4280000000000002,75.7808
6.1219,61.0,48.7637,14.5468,36.8938,11.0,68.0,1.416,75.509
6.23453,61.0,48.7637,14.5468,36.8938,11.0,67.0,1.44,75.2286
6.34716,61.0,48.7637,14.5468,36.8938,11.0,69.0,1.416,74.9884
6.4598,61.0,48.7637,14.5468,36.8938,11.0,65.0,1.44,74.7382
6.572430000000001,61.0,48.7637,14.5468,36.8938,11.0,66.0,1.416,74.5341
6.682689999999999,61.0,48.7637,14.5468,36.8938,11.0,67.0,1.44,74.2931
6.79709,61.0,48.7637,14.5468,36.8938,11.0,68.0,1.416,74.1046
6.90544,61.0,48.7637,14.5468,36.8938,11.0,64.0,1.4280000000000002,73.7077
7.01991,77.0,63.1051,14.0619,35.7822,12.0,65.0,1.4280000000000002,73.5441
7.131460000000001,77.0,63.1051,14.0619,35.7822,16.0,69.0,1.4280000000000002,73.3728
7.24401,77.0,63.1051,14.0619,35.7822,16.0,71.0,1.4280000000000002,73.2222
7.35836,77.0,63.1051,14.0619,35.7822,13.0,63.0,1.4280000000000002,73.0518
7.47111,77.0,63.1051,14.0619,35.7822,12.0,67.0,1.4280000000000002,72.8998
7.582339999999999,77.0,63.1051,14.0619,35.7822,14.0,68.0,1.4280000000000002,72.7586
7.68905,77.0,63.1051,14.0619,35.7822,12.0,64.0,1.416,72.6226
7.803999999999999,77.0,63.1051,14.0619,35.7822,13.0,66.0,1.5719999999999998,72.5691
7.91615,77.0,63.1051,14.0619,35.7822,16.0,66.0,1.416,72.4443
8.02623,59.0,47.1003,14.0625,35.4282,13.0,68.0,1.416,72.3227
8.14362,59.0,47.1003,14.0625,35.4282,14.0,70.0,1.44,72.2994
8.252889999999999,59.0,47.1003,14.0625,35.4282,9.0,64.0,1.248,72.1966
8.3698,59.0,47.1003,14.0625,35.4282,15.0,61.0,1.62,72.2934
8.48347,59.0,47.1003,14.0625,35.4282,16.0,66.0,1.4280000000000002,72.1792
8.59794,59.0,47.1003,14.0625,35.4282,11.0,66.0,1.416,72.0655
8.706489999999999,59.0,47.1003,14.0625,35.4282,16.0,66.0,1.392,71.8735
8.82117,59.0,47.1003,14.0625,35.4282,12.0,69.0,1.464,71.942
8.932960000000001,59.0,47.1003,14.0625,35.4282,13.0,68.0,1.416,71.8469
9.04594,76.0,60.7413,14.062000000000001,34.7924,16.0,67.0,1.44,71.7382
